"region_id","score","dimension","indicator","scen_year"
"BHI-029",71.72,"status","oxydebt",2020
"BHI-030",71.72,"status","oxydebt",2020
"BHI-031",71.72,"status","oxydebt",2020
"BHI-032",71.72,"status","oxydebt",2020
"BHI-033",71.72,"status","oxydebt",2020
"BHI-034",71.72,"status","oxydebt",2020
"BHI-035",NA,"status","oxydebt",2020
"BHI-036",NA,"status","oxydebt",2020
"BHI-037",NA,"status","oxydebt",2020
"BHI-038",NA,"status","oxydebt",2020
"BHI-041",NA,"status","oxydebt",2020
"BHI-042",NA,"status","oxydebt",2020
"BHI-001",NA,"status","oxydebt",2020
"BHI-002",NA,"status","oxydebt",2020
"BHI-003",NA,"status","oxydebt",2020
"BHI-005",NA,"status","oxydebt",2020
"BHI-006",NA,"status","oxydebt",2020
"BHI-007",NA,"status","oxydebt",2020
"BHI-008",NA,"status","oxydebt",2020
"BHI-009",NA,"status","oxydebt",2020
"BHI-010",NA,"status","oxydebt",2020
"BHI-027",NA,"status","oxydebt",2020
"BHI-028",NA,"status","oxydebt",2020
"BHI-039",NA,"status","oxydebt",2020
"BHI-040",NA,"status","oxydebt",2020
"BHI-043",NA,"status","oxydebt",2020
"BHI-011",NA,"trend","oxydebt",2020
"BHI-012",NA,"trend","oxydebt",2020
"BHI-013",NA,"trend","oxydebt",2020
"BHI-014",-0.1,"trend","oxydebt",2020
"BHI-015",-0.1,"trend","oxydebt",2020
"BHI-016",-0.1,"trend","oxydebt",2020
"BHI-017",-0.1,"trend","oxydebt",2020
"BHI-018",-0.063,"trend","oxydebt",2020
"BHI-019",-0.063,"trend","oxydebt",2020
"BHI-020",-0.063,"trend","oxydebt",2020
"BHI-021",-0.063,"trend","oxydebt",2020
"BHI-022",-0.063,"trend","oxydebt",2020
"BHI-023",-0.063,"trend","oxydebt",2020
"BHI-024",-0.063,"trend","oxydebt",2020
"BHI-025",-0.063,"trend","oxydebt",2020
"BHI-026",-0.063,"trend","oxydebt",2020
"BHI-029",-0.063,"trend","oxydebt",2020
"BHI-030",-0.063,"trend","oxydebt",2020
"BHI-031",-0.063,"trend","oxydebt",2020
"BHI-032",-0.063,"trend","oxydebt",2020
"BHI-033",-0.063,"trend","oxydebt",2020
"BHI-034",-0.063,"trend","oxydebt",2020
"BHI-035",NA,"trend","oxydebt",2020
"BHI-036",NA,"trend","oxydebt",2020
"BHI-037",NA,"trend","oxydebt",2020
"BHI-038",NA,"trend","oxydebt",2020
"BHI-041",NA,"trend","oxydebt",2020
"BHI-042",NA,"trend","oxydebt",2020
"BHI-001",NA,"trend","oxydebt",2020
"BHI-002",NA,"trend","oxydebt",2020
"BHI-003",NA,"trend","oxydebt",2020
"BHI-005",NA,"trend","oxydebt",2020
"BHI-006",NA,"trend","oxydebt",2020
"BHI-007",NA,"trend","oxydebt",2020
"BHI-008",NA,"trend","oxydebt",2020
"BHI-009",NA,"trend","oxydebt",2020
"BHI-010",NA,"trend","oxydebt",2020
"BHI-027",NA,"trend","oxydebt",2020
"BHI-028",NA,"trend","oxydebt",2020
"BHI-039",NA,"trend","oxydebt",2020
"BHI-040",NA,"trend","oxydebt",2020
"BHI-043",NA,"trend","oxydebt",2020
"region_id","score","dimension","indicator","scen_year"
"BHI-011",NA,"status","oxydebt",2020
"BHI-012",NA,"status","oxydebt",2020
"BHI-013",NA,"status","oxydebt",2020
"BHI-014",79.27,"status","oxydebt",2020
"BHI-015",79.27,"status","oxydebt",2020
"BHI-016",79.27,"status","oxydebt",2020
"BHI-017",79.27,"status","oxydebt",2020
"BHI-018",71.72,"status","oxydebt",2020
"BHI-019",71.72,"status","oxydebt",2020
"BHI-020",71.72,"status","oxydebt",2020
"BHI-021",71.72,"status","oxydebt",2020
"BHI-022",71.72,"status","oxydebt",2020
"BHI-023",71.72,"status","oxydebt",2020
"BHI-024",71.72,"status","oxydebt",2020
"BHI-025",71.72,"status","oxydebt",2020
"BHI-026",71.72,"status","oxydebt",2020
"BHI-029",71.72,"status","oxydebt",2020
"BHI-030",71.72,"status","oxydebt",2020
"BHI-031",71.72,"status","oxydebt",2020
"BHI-032",71.72,"status","oxydebt",2020
"BHI-033",71.72,"status","oxydebt",2020
"BHI-034",71.72,"status","oxydebt",2020
"BHI-035",NA,"status","oxydebt",2020
"BHI-036",NA,"status","oxydebt",2020
"BHI-037",NA,"status","oxydebt",2020
"BHI-038",NA,"status","oxydebt",2020
"BHI-041",NA,"status","oxydebt",2020
"BHI-042",NA,"status","oxydebt",2020
"BHI-001",NA,"status","oxydebt",2020
"BHI-002",NA,"status","oxydebt",2020
"BHI-003",NA,"status","oxydebt",2020
"BHI-005",NA,"status","oxydebt",2020
"BHI-006",NA,"status","oxydebt",2020
"BHI-007",NA,"status","oxydebt",2020
"BHI-008",NA,"status","oxydebt",2020
"BHI-009",NA,"status","oxydebt",2020
"BHI-010",NA,"status","oxydebt",2020
"BHI-027",NA,"status","oxydebt",2020
"BHI-028",NA,"status","oxydebt",2020
"BHI-039",NA,"status","oxydebt",2020
"BHI-040",NA,"status","oxydebt",2020
"BHI-043",NA,"status","oxydebt",2020
"BHI-011",NA,"trend","oxydebt",2020
"BHI-012",NA,"trend","oxydebt",2020
"BHI-013",NA,"trend","oxydebt",2020
"BHI-014",-0.1,"trend","oxydebt",2020
"BHI-015",-0.1,"trend","oxydebt",2020
"BHI-016",-0.1,"trend","oxydebt",2020
"BHI-017",-0.1,"trend","oxydebt",2020
"BHI-018",-0.063,"trend","oxydebt",2020
"BHI-019",-0.063,"trend","oxydebt",2020
"BHI-020",-0.063,"trend","oxydebt",2020
"BHI-021",-0.063,"trend","oxydebt",2020
"BHI-022",-0.063,"trend","oxydebt",2020
"BHI-023",-0.063,"trend","oxydebt",2020
"BHI-024",-0.063,"trend","oxydebt",2020
"BHI-025",-0.063,"trend","oxydebt",2020
"BHI-026",-0.063,"trend","oxydebt",2020
"BHI-029",-0.063,"trend","oxydebt",2020
"BHI-030",-0.063,"trend","oxydebt",2020
"BHI-031",-0.063,"trend","oxydebt",2020
"BHI-032",-0.063,"trend","oxydebt",2020
"BHI-033",-0.063,"trend","oxydebt",2020
"BHI-034",-0.063,"trend","oxydebt",2020
"BHI-035",NA,"trend","oxydebt",2020
"BHI-036",NA,"trend","oxydebt",2020
"BHI-037",NA,"trend","oxydebt",2020
"BHI-038",NA,"trend","oxydebt",2020
"BHI-041",NA,"trend","oxydebt",2020
"BHI-042",NA,"trend","oxydebt",2020
"BHI-001",NA,"trend","oxydebt",2020
"BHI-002",NA,"trend","oxydebt",2020
"BHI-003",NA,"trend","oxydebt",2020
"BHI-005",NA,"trend","oxydebt",2020
"BHI-006",NA,"trend","oxydebt",2020
"BHI-007",NA,"trend","oxydebt",2020
"BHI-008",NA,"trend","oxydebt",2020
"BHI-009",NA,"trend","oxydebt",2020
"BHI-010",NA,"trend","oxydebt",2020
"BHI-027",NA,"trend","oxydebt",2020
"BHI-028",NA,"trend","oxydebt",2020
"BHI-039",NA,"trend","oxydebt",2020
"BHI-040",NA,"trend","oxydebt",2020
"BHI-043",NA,"trend","oxydebt",2020
"region_id","score","dimension","indicator","scen_year"
"BHI-011",NA,"status","oxydebt",2020
"BHI-012",NA,"status","oxydebt",2020
"BHI-013",NA,"status","oxydebt",2020
"BHI-014",79.27,"status","oxydebt",2020
"BHI-015",79.27,"status","oxydebt",2020
"BHI-016",79.27,"status","oxydebt",2020
"BHI-017",79.27,"status","oxydebt",2020
"BHI-018",71.72,"status","oxydebt",2020
"BHI-019",71.72,"status","oxydebt",2020
"BHI-020",71.72,"status","oxydebt",2020
"BHI-021",71.72,"status","oxydebt",2020
"BHI-022",71.72,"status","oxydebt",2020
"BHI-023",71.72,"status","oxydebt",2020
"BHI-024",71.72,"status","oxydebt",2020
"BHI-025",71.72,"status","oxydebt",2020
"BHI-026",71.72,"status","oxydebt",2020
"BHI-029",71.72,"status","oxydebt",2020
"BHI-030",71.72,"status","oxydebt",2020
"BHI-031",71.72,"status","oxydebt",2020
"BHI-032",71.72,"status","oxydebt",2020
"BHI-033",71.72,"status","oxydebt",2020
"BHI-034",71.72,"status","oxydebt",2020
"BHI-035",NA,"status","oxydebt",2020
"BHI-036",NA,"status","oxydebt",2020
"BHI-037",NA,"status","oxydebt",2020
"BHI-038",NA,"status","oxydebt",2020
"BHI-041",NA,"status","oxydebt",2020
"BHI-042",NA,"status","oxydebt",2020
"BHI-001",NA,"status","oxydebt",2020
"BHI-002",NA,"status","oxydebt",2020
"BHI-003",NA,"status","oxydebt",2020
"BHI-005",NA,"status","oxydebt",2020
"BHI-006",NA,"status","oxydebt",2020
"BHI-007",NA,"status","oxydebt",2020
"BHI-008",NA,"status","oxydebt",2020
"BHI-009",NA,"status","oxydebt",2020
"BHI-010",NA,"status","oxydebt",2020
"BHI-027",NA,"status","oxydebt",2020
"BHI-028",NA,"status","oxydebt",2020
"BHI-039",NA,"status","oxydebt",2020
"BHI-040",NA,"status","oxydebt",2020
"BHI-043",NA,"status","oxydebt",2020
"BHI-011",NA,"trend","oxydebt",2020
"BHI-012",NA,"trend","oxydebt",2020
"BHI-013",NA,"trend","oxydebt",2020
"BHI-014",-0.1,"trend","oxydebt",2020
"BHI-015",-0.1,"trend","oxydebt",2020
"BHI-016",-0.1,"trend","oxydebt",2020
"BHI-017",-0.1,"trend","oxydebt",2020
"BHI-018",-0.063,"trend","oxydebt",2020
"BHI-019",-0.063,"trend","oxydebt",2020
"BHI-020",-0.063,"trend","oxydebt",2020
"BHI-021",-0.063,"trend","oxydebt",2020
"BHI-022",-0.063,"trend","oxydebt",2020
"BHI-023",-0.063,"trend","oxydebt",2020
"BHI-024",-0.063,"trend","oxydebt",2020
"BHI-025",-0.063,"trend","oxydebt",2020
"BHI-026",-0.063,"trend","oxydebt",2020
"BHI-029",-0.063,"trend","oxydebt",2020
"BHI-030",-0.063,"trend","oxydebt",2020
"BHI-031",-0.063,"trend","oxydebt",2020
"BHI-032",-0.063,"trend","oxydebt",2020
"BHI-033",-0.063,"trend","oxydebt",2020
"BHI-034",-0.063,"trend","oxydebt",2020
"BHI-035",NA,"trend","oxydebt",2020
"BHI-036",NA,"trend","oxydebt",2020
"BHI-037",NA,"trend","oxydebt",2020
"BHI-038",NA,"trend","oxydebt",2020
"BHI-041",NA,"trend","oxydebt",2020
"BHI-042",NA,"trend","oxydebt",2020
"BHI-001",NA,"trend","oxydebt",2020
"BHI-002",NA,"trend","oxydebt",2020
"BHI-003",NA,"trend","oxydebt",2020
"BHI-005",NA,"trend","oxydebt",2020
"BHI-006",NA,"trend","oxydebt",2020
"BHI-007",NA,"trend","oxydebt",2020
"BHI-008",NA,"trend","oxydebt",2020
"BHI-009",NA,"trend","oxydebt",2020
"BHI-010",NA,"trend","oxydebt",2020
"BHI-027",NA,"trend","oxydebt",2020
"BHI-028",NA,"trend","oxydebt",2020
"BHI-039",NA,"trend","oxydebt",2020
"BHI-040",NA,"trend","oxydebt",2020
"BHI-043",NA,"trend","oxydebt",2020
"region_id","score","dimension","indicator","scen_year"
"BHI-011",NA,"status","oxydebt",2020
"BHI-012",NA,"status","oxydebt",2020
"BHI-013",NA,"status","oxydebt",2020
"BHI-014",79.27,"status","oxydebt",2020
"BHI-015",79.27,"status","oxydebt",2020
"BHI-016",79.27,"status","oxydebt",2020
"BHI-017",79.27,"status","oxydebt",2020
"BHI-018",71.72,"status","oxydebt",2020
"BHI-019",71.72,"status","oxydebt",2020
"BHI-020",71.72,"status","oxydebt",2020
"BHI-021",71.72,"status","oxydebt",2020
"BHI-022",71.72,"status","oxydebt",2020
"BHI-023",71.72,"status","oxydebt",2020
"BHI-024",71.72,"status","oxydebt",2020
"BHI-025",71.72,"status","oxydebt",2020
"BHI-026",71.72,"status","oxydebt",2020
"BHI-029",71.72,"status","oxydebt",2020
"BHI-030",71.72,"status","oxydebt",2020
"BHI-031",71.72,"status","oxydebt",2020
"BHI-032",71.72,"status","oxydebt",2020
"BHI-033",71.72,"status","oxydebt",2020
"BHI-034",71.72,"status","oxydebt",2020
"BHI-035",NA,"status","oxydebt",2020
"BHI-036",NA,"status","oxydebt",2020
"BHI-037",NA,"status","oxydebt",2020
"BHI-038",NA,"status","oxydebt",2020
"BHI-041",NA,"status","oxydebt",2020
"BHI-042",NA,"status","oxydebt",2020
"BHI-001",NA,"status","oxydebt",2020
"BHI-002",NA,"status","oxydebt",2020
"BHI-003",NA,"status","oxydebt",2020
"BHI-005",NA,"status","oxydebt",2020
"BHI-006",NA,"status","oxydebt",2020
"BHI-007",NA,"status","oxydebt",2020
"BHI-008",NA,"status","oxydebt",2020
"BHI-009",NA,"status","oxydebt",2020
"BHI-010",NA,"status","oxydebt",2020
"BHI-027",NA,"status","oxydebt",2020
"BHI-028",NA,"status","oxydebt",2020
"BHI-039",NA,"status","oxydebt",2020
"BHI-040",NA,"status","oxydebt",2020
"BHI-043",NA,"status","oxydebt",2020
"BHI-011",NA,"trend","oxydebt",2020
"BHI-012",NA,"trend","oxydebt",2020
"BHI-013",NA,"trend","oxydebt",2020
"BHI-014",-0.1,"trend","oxydebt",2020
"BHI-015",-0.1,"trend","oxydebt",2020
"BHI-016",-0.1,"trend","oxydebt",2020
"BHI-017",-0.1,"trend","oxydebt",2020
"BHI-018",-0.063,"trend","oxydebt",2020
"BHI-019",-0.063,"trend","oxydebt",2020
"BHI-020",-0.063,"trend","oxydebt",2020
"BHI-021",-0.063,"trend","oxydebt",2020
"BHI-022",-0.063,"trend","oxydebt",2020
"BHI-023",-0.063,"trend","oxydebt",2020
"BHI-024",-0.063,"trend","oxydebt",2020
"BHI-025",-0.063,"trend","oxydebt",2020
"BHI-026",-0.063,"trend","oxydebt",2020
"BHI-029",-0.063,"trend","oxydebt",2020
"BHI-030",-0.063,"trend","oxydebt",2020
"BHI-031",-0.063,"trend","oxydebt",2020
"BHI-032",-0.063,"trend","oxydebt",2020
"BHI-033",-0.063,"trend","oxydebt",2020
"BHI-034",-0.063,"trend","oxydebt",2020
"BHI-035",NA,"trend","oxydebt",2020
"BHI-036",NA,"trend","oxydebt",2020
"BHI-037",NA,"trend","oxydebt",2020
"BHI-038",NA,"trend","oxydebt",2020
"BHI-041",NA,"trend","oxydebt",2020
"BHI-042",NA,"trend","oxydebt",2020
"BHI-001",NA,"trend","oxydebt",2020
"BHI-002",NA,"trend","oxydebt",2020
"BHI-003",NA,"trend","oxydebt",2020
"BHI-005",NA,"trend","oxydebt",2020
"BHI-006",NA,"trend","oxydebt",2020
"BHI-007",NA,"trend","oxydebt",2020
"BHI-008",NA,"trend","oxydebt",2020
"BHI-009",NA,"trend","oxydebt",2020
"BHI-010",NA,"trend","oxydebt",2020
"BHI-027",NA,"trend","oxydebt",2020
"BHI-028",NA,"trend","oxydebt",2020
"BHI-039",NA,"trend","oxydebt",2020
"BHI-040",NA,"trend","oxydebt",2020
"BHI-043",NA,"trend","oxydebt",2020
